DUC,case
NonDUC,13882
NonDUC,13882
NonDUC,13882
DUC-2,13882
NonDUC,13882
DUC-3,13882
DUC-2,13882
NonDUC,13882
NonDUC,13882
NonDUC,13882
NonDUC,13882
NonDUC,14230
NonDUC,14230
NonDUC,14230
NonDUC,14230
DUC-3,14230
NonDUC,14230
NonDUC,14230
NonDUC,14230
NonDUC,16370
DUC-1,16370
NonDUC,16370
DUC-2,16370
NonDUC,16370
NonDUC,16370
NonDUC,16370
NonDUC,16370
NonDUC,17981
DUC-3,17981
NonDUC,17981
NonDUC,17981
NonDUC,17981
NonDUC,17981
DUC-1,17981
NonDUC,20352
NonDUC,20352
NonDUC,20352
NonDUC,20352
NonDUC,20352
NonDUC,20352
DUC-2,20352
NonDUC,20352
NonDUC,20352
NonDUC,20352
NonDUC,20953
DU4-1,20953
NonDUC,20953
NonDUC,20953
NonDUC,20953
NonDUC,20953
NonDUC,20953
NonDUC,20953
NonDUC,23055
NonDUC,23055
NonDUC,23055
NonDUC,23055
DUC-3,23055
NonDUC,23055
NonDUC,23055
NonDUC,23055
NonDUC,20609
NonDUC,20609
NonDUC,20609
NonDUC,20609
NonDUC,20609
NonDUC,20609
NonDUC,20609
DUC-3,23143
NonDUC,23143
NonDUC,23143
NonDUC,23143
NonDUC,23143
DUC-2,23143
DUC-3,23143
DUC-3,23143
NonDUC,23143
DU4-1,23143
NonDUC,23143
NonDUC,23143
DUC-1,23143
NonDUC,23143
DUC-1,23143
NonDUC,23143
DU4-1,23143
NonDUC,23143
NonDUC,23143
NonDUC,23143
NonDUC,23015
NonDUC,23015
NonDUC,23015
NonDUC,23015
NonDUC,23015
NonDUC,23015
NonDUC,23015
DUC-3,23015
NonDUC,23015
NonDUC,23015
NonDUC,17951
DUC-1,17951
NonDUC,17951
NonDUC,17951
NonDUC,17951
NonDUC,17951
NonDUC,17951
NonDUC,17951
NonDUC,17951
NonDUC,17951
NonDUC,27333
NonDUC,27333
NonDUC,27333
NonDUC,27333
NonDUC,27333
NonDUC,27333
NonDUC,27333
NonDUC,27333
NonDUC,27333
DUC-2,27333
NonDUC,27333
DUC-2,21408
NonDUC,21408
DUC-2Plus,21408
DU4-1Plus,21408
DUC-2,21408
NonDUC,21408
NonDUC,25042
NonDUC,25042
NonDUC,25042
NonDUC,25042
NonDUC,25042
NonDUC,25042
NonDUC,25042
NonDUC,25042
NonDUC,25042
NonDUC,24573
NonDUC,24573
NonDUC,24573
NonDUC,24573
DUC-1Plus,24573
DU4-1,24573
DUC-2Plus,24573
DUC-1,24573
NonDUC,24573
NonDUC,29121
NonDUC,29121
NonDUC,29121
NonDUC,29121
NonDUC,29121
NonDUC,29121
NonDUC,29121
NonDUC,30393
NonDUC,30393
NonDUC,30393
DUC-2,30393
DUC-2,30393
NonDUC,30393
NonDUC,29308
NonDUC,29308
NonDUC,29308
NonDUC,29308
DUC-3,29308
NonDUC,29308
NonDUC,29308
NonDUC,30256
NonDUC,30256
NonDUC,30256
NonDUC,30256
NonDUC,34132
NonDUC,34132
NonDUC,34132
NonDUC,34132
NonDUC,34132
NonDUC,34132
NonDUC,34132
DUC-1,34132
NonDUC,34132
NonDUC,34132
DUC-2,35163
NonDUC,35163
NonDUC,35163
NonDUC,35163
NonDUC,35163
NonDUC,35163
NonDUC,35163
NonDUC,35163
NonDUC,35163
NonDUC,35163
DUC-2,35163
NonDUC,35163
NonDUC,35163
NonDUC,35163
NonDUC,35163
NonDUC,35163
NonDUC,35163
NonDUC,35163
NonDUC,35570
NonDUC,35570
NonDUC,35570
NonDUC,35570
NonDUC,35570
NonDUC,35570
NonDUC,35570
NonDUC,35570
NonDUC,35570
NonDUC,35570
NonDUC,35570
NonDUC,35570
NonDUC,35570
NonDUC,35570
DUC-2Plus,35570
NonDUC,35570
NonDUC,35570
NonDUC,35570
NonDUC,35570
NonDUC,24573
NonDUC,24573
NonDUC,24573
NonDUC,24573
NonDUC,24573
NonDUC,24573
NonDUC,24573
NonDUC,24573
NonDUC,24573
DUC-1,24573
DUC-1,24573
NonDUC,24573
NonDUC,24573
NonDUC,24573
NonDUC,36921
NonDUC,36921
NonDUC,36921
NonDUC,36921
DU4-1,36921
NonDUC,36921
NonDUC,36921
NonDUC,36921
NonDUC,36921
NonDUC,37665
NonDUC,37665
NonDUC,37665
NonDUC,37665
NonDUC,37665
NonDUC,37665
NonDUC,37665
NonDUC,37665
NonDUC,37665
NonDUC,37665
NonDUC,37665
NonDUC,37665
NonDUC,37665
NonDUC,37665
NonDUC,37665
DUC-2Plus,38122
DUC-3,38122
NonDUC,38122
NonDUC,38122
NonDUC,38122
NonDUC,38122
NonDUC,38122
NonDUC,38122
DUC-2,38122
DUC-3,38122
DUC-2,38122
DUC-1,38122
DUC-2,38122
DUC-2Plus,38122
NonDUC,38122
DUC-2,38122
DUC-1,38122
DUC-3,38122
DUC-1,38122
